date,solana_dex_volume_usd
2021-10-02,3
2021-10-05,100
2021-10-06,5
2021-10-07,42287
2021-10-08,33360
2021-10-09,13601
2021-10-10,47552
2021-10-11,19481
2021-10-12,18576
2021-10-13,2968
2021-10-14,31697
2021-10-15,275161
2021-10-16,1141819
2021-10-17,65818
2021-10-18,15260
2021-10-19,100286
2021-10-20,10929
2021-10-21,246353
2021-10-22,223185
2021-10-23,121817
2021-10-24,36176
2021-10-25,365946
2021-10-26,1085978
2021-10-27,1182288
2021-10-28,412394
2021-10-29,664863
2021-10-30,917332
2021-10-31,71914
2021-11-01,133931
2021-11-02,343255
2021-11-03,422857
2021-11-04,101180
2021-11-05,943020
2021-11-06,111395
2021-11-07,536425
2021-11-08,12221
2021-11-09,8715
2021-11-10,466423
2021-11-11,356665
2021-11-12,246815
2021-11-13,165442
2021-11-14,10841
2021-11-15,1931
2021-11-16,115922
2021-11-17,231845
2021-11-18,89830
2021-11-19,23617
2021-11-20,518202
2021-11-21,7815
2021-11-22,8977
2021-11-23,17955
2021-11-24,26933
2021-11-25,980
2021-11-26,422951
2021-11-27,184231
2021-11-28,610689
2021-11-29,30874
2021-11-30,24576
2021-12-01,509643
2021-12-02,20298
2021-12-03,24220
2021-12-04,815
2021-12-05,182868
2021-12-06,74983
2021-12-07,32010
2021-12-08,70838
2021-12-10,2318
2021-12-11,21348
2021-12-12,50060
2021-12-13,41802
2021-12-14,33555
2021-12-15,785
2021-12-16,110250
2021-12-17,8277
2021-12-18,45981
2021-12-19,1938
2021-12-20,15327
2021-12-21,25122
2021-12-22,5185
2021-12-23,111185
2021-12-24,31763
2021-12-25,112801
2021-12-26,114759
2021-12-27,135167
2021-12-28,111819
2021-12-29,47124
2021-12-30,40126
2021-12-31,24572
2022-01-01,233696
2022-01-02,56891
2022-01-03,768569
2022-01-04,104768
2022-01-05,381382
2022-01-06,73392
2022-01-07,95557
2022-01-08,50563
2022-01-09,450228
2022-01-10,163609
2022-01-11,269657
2022-01-12,432887
2022-01-13,514734
2022-01-14,890189
2022-01-15,81217
2022-01-16,181402
2022-01-17,233146
2022-01-18,117774
2022-01-19,110680
2022-01-20,375777
2022-01-21,392851
2022-01-22,345622
2022-01-23,894302
2022-01-24,2017444
2022-01-25,287645
2022-01-26,9811602
2022-01-27,19338242
2022-01-28,9918240
2022-01-29,6598012
2022-01-30,4337640
2022-01-31,5565333
2022-02-01,11302826
2022-02-02,36043833
2022-02-03,10930763
2022-02-04,16802042
2022-02-05,7438657
2022-02-06,4640361
2022-02-07,7708374
2022-02-08,9880444
2022-02-09,6502633
2022-02-10,7608633
2022-02-11,7454800
2022-02-12,7461418
2022-02-13,4238527
2022-02-14,5988780
2022-02-15,5476849
2022-02-16,5347028
2022-02-17,7499299
2022-02-18,7440254
2022-02-19,6066587
2022-02-20,9466811
2022-02-21,14706587
2022-02-22,10788300
2022-02-23,9938919
2022-02-24,24515368
2022-02-25,16385519
2022-02-26,8566978
2022-02-27,9934066
2022-02-28,15430883
2022-03-01,13585491
2022-03-02,16213946
2022-03-03,8784934
2022-03-04,9212291
2022-03-05,6469474
2022-03-06,5572626
2022-03-07,8475450
2022-03-08,8546340
2022-03-09,9259358
2022-03-10,8313501
2022-03-11,6464943
2022-03-12,3690057
2022-03-13,3873657
2022-03-14,6599592
2022-03-15,7249940
2022-03-16,6866218
2022-03-17,6357111
2022-03-18,6603853
2022-03-19,6703783
2022-03-20,4713413
2022-03-21,6806547
2022-03-22,8305610
2022-03-23,10759741
2022-03-24,11426336
2022-03-25,7726730
2022-03-26,6054229
2022-03-27,5256193
2022-03-28,4693830
2022-03-29,9348786
2022-03-30,12503150
2022-03-31,16378123
2022-04-01,16535120
2022-04-02,10925789
2022-04-03,9811345
2022-04-04,10651046
2022-04-05,12170062
2022-04-06,16651357
2022-04-07,14437072
2022-04-08,11527017
2022-04-09,9589034
2022-04-10,6864454
2022-04-11,14459791
2022-04-12,13824492
2022-04-13,18366367
2022-04-14,8371265
2022-04-15,15673772
2022-04-16,4846978
2022-04-17,7678741
2022-04-18,12576176
2022-04-19,10179997
2022-04-20,12594912
2022-04-21,10387577
2022-04-22,11874347
2022-04-23,9473030
2022-04-24,6445753
2022-04-25,18295393
2022-04-26,11507038
2022-04-27,10610876
2022-04-28,9672119
2022-04-29,8282760
2022-04-30,6385427
2022-05-01,3689160
2022-05-02,8386400
2022-05-03,5890001
2022-05-04,5554244
2022-05-05,12479953
2022-05-06,21429250
2022-05-07,11446202
2022-05-08,18800812
2022-05-09,23672134
2022-05-10,63396925
2022-05-11,76458291
2022-05-12,86529156
2022-05-13,27229804
2022-05-14,16414386
2022-05-15,13045408
2022-05-16,14270601
2022-05-17,11236370
2022-05-18,11802773
2022-05-19,15222945
2022-05-20,12813953
2022-05-21,7387202
2022-05-22,6202972
2022-05-23,9168932
2022-05-24,9882856
2022-05-25,7961621
2022-05-26,10886070
2022-05-27,20320169
2022-05-28,8498128
2022-05-29,9364777
2022-05-30,10109591
2022-05-31,13049686
2022-06-01,11603183
2022-06-02,13810783
2022-06-03,13952280
2022-06-04,10556899
2022-06-05,10025375
2022-06-06,12522221
2022-06-07,16012979
2022-06-08,16801894
2022-06-09,10905791
2022-06-10,12940944
2022-06-11,14918844
2022-06-12,16960440
2022-06-13,46708697
2022-06-14,25983185
2022-06-15,45810929
2022-06-16,38298970
2022-06-17,29526465
2022-06-18,25807334
2022-06-19,28632079
2022-06-20,29027490
2022-06-21,26226109
2022-06-22,29281713
2022-06-23,24933031
2022-06-24,31845645
2022-06-25,30439937
2022-06-26,51360907
2022-06-27,58659390
2022-06-28,57124832
2022-06-29,98710458
2022-06-30,62176564
2022-07-01,60547081
2022-07-02,44800606
2022-07-03,33204651
2022-07-04,31938625
2022-07-05,34860582
2022-07-06,39114469
2022-07-07,26751934
2022-07-08,46573161
2022-07-09,19746390
2022-07-10,14848194
2022-07-11,25984275
2022-07-12,27164866
2022-07-13,27025622
2022-07-14,28442568
2022-07-15,28421070
2022-07-16,40666632
2022-07-17,25299523
2022-07-18,34421224
2022-07-19,56433367
2022-07-20,44983790
2022-07-21,42669662
2022-07-22,26838641
2022-07-23,26768734
2022-07-24,22259553
2022-07-25,36850900
2022-07-26,26983386
2022-07-27,35850228
2022-07-28,55109069
2022-07-29,41287600
2022-07-30,31875708
2022-07-31,25853312
2022-08-01,25746152
2022-08-02,33568646
2022-08-03,65301222
2022-08-04,32547429
2022-08-05,29230654
2022-08-06,13733618
2022-08-07,12856021
2022-08-08,27050569
2022-08-09,20441667
2022-08-10,47393815
2022-08-11,41956277
2022-08-12,31424233
2022-08-13,46506942
2022-08-14,45786989
2022-08-15,166492609
2022-08-16,50291048
2022-08-17,49241768
2022-08-18,36993315
2022-08-19,82615655
2022-08-20,68022958
2022-08-21,53104463
2022-08-22,60812621
2022-08-23,35480199
2022-08-24,32449516
2022-08-25,29893166
2022-08-26,88351896
2022-08-27,38099467
2022-08-28,27444932
2022-08-29,33203621
2022-08-30,42646592
2022-08-31,33218480
2022-09-01,42317179
2022-09-02,28287561
2022-09-03,15008871
2022-09-04,20958839
2022-09-05,21691284
2022-09-06,62053781
2022-09-07,38701808
2022-09-08,44178301
2022-09-09,52388999
2022-09-10,34019686
2022-09-11,34206532
2022-09-12,61134875
2022-09-13,80911064
2022-09-14,81247222
2022-09-15,90373273
2022-09-16,63606313
2022-09-17,42542153
2022-09-18,88953895
2022-09-19,141465408
2022-09-20,67622873
2022-09-21,116396914
2022-09-22,71981777
2022-09-23,89327309
2022-09-24,64053051
2022-09-25,44298382
2022-09-26,73597275
2022-09-27,76383160
2022-09-28,74333315
2022-09-29,92139370
2022-09-30,79707100
2022-10-01,39416530
2022-10-02,46220532
2022-10-03,54239773
2022-10-04,51688341
2022-10-05,84240836
2022-10-06,36767739
2022-10-07,39854394
2022-10-08,14877544
2022-10-09,18129880
2022-10-10,37172918
2022-10-11,64889477
2022-10-12,49905684
2022-10-13,73567320
2022-10-14,34466057
2022-10-15,15788045
2022-10-16,34368214
2022-10-17,24889901
2022-10-18,31808834
2022-10-19,26938970
2022-10-20,30034349
2022-10-21,48415674
2022-10-22,19948899
2022-10-23,18439423
2022-10-24,22349658
2022-10-25,52099385
2022-10-26,35682731
2022-10-27,52469285
2022-10-28,45488938
2022-10-29,48190889
2022-10-30,41095524
2022-10-31,60379848
2022-11-01,34491943
2022-11-02,62799759
2022-11-03,40194120
2022-11-04,63346365
2022-11-05,107996872
2022-11-06,318196265
2022-11-07,122599311
2022-11-08,372573570
2022-11-09,563167805
2022-11-10,310153403
2022-11-11,133109341
2022-11-12,58728797
2022-11-13,58553514
2022-11-14,98533235
2022-11-15,56966668
2022-11-16,28765792
2022-11-17,125768685
2022-11-18,61379254
2022-11-19,33944046
2022-11-20,57562596
2022-11-21,73847194
2022-11-22,57054638
2022-11-23,69766876
2022-11-24,41711996
2022-11-25,26041526
2022-11-26,36063387
2022-11-27,13994038
2022-11-28,26691885
2022-11-29,14656072
2022-11-30,21773819
2022-12-01,14109010
2022-12-02,13493952
2022-12-03,16061176
2022-12-04,17366438
2022-12-05,24128718
2022-12-06,28103928
2022-12-07,14869383
2022-12-08,10768350
2022-12-09,13534374
