date,solana_fees_revenue_usd
2022-02-14,11135
2022-02-15,12194
2022-02-16,12729
2022-02-17,12729
2022-02-18,10228
2022-02-19,8711
2022-02-20,11004
2022-02-21,9152
2022-02-22,9152
2022-02-23,13017
2022-02-24,13017
2022-02-25,6931
2022-02-26,5084
2022-02-27,7571
2022-02-28,7216
2022-03-01,6450
2022-03-02,6450
2022-03-03,7687
2022-03-04,8154
2022-03-05,3803
2022-03-06,3803
2022-03-07,5133
2022-03-08,2594
2022-03-09,3189
2022-03-10,1975
2022-03-11,2171
2022-03-12,2142
2022-03-13,2142
2022-03-14,3046
2022-03-15,3819
2022-03-16,3819
2022-03-17,6103
2022-03-18,5315
2022-03-19,4349
2022-03-20,4349
2022-03-21,2997
2022-03-22,3101
2022-03-23,6476
2022-03-24,4716
2022-03-25,4359
2022-03-26,6185
2022-03-27,6324
2022-03-28,6324
2022-03-29,6079
2022-03-30,7904
2022-03-31,5635
2022-04-01,5001
2022-04-02,2369
2022-04-03,2224
2022-04-04,4494
2022-04-05,6380
2022-04-06,3810
2022-04-07,4229
2022-04-08,2338
2022-04-09,2178
2022-04-10,4885
2022-04-11,2690
2022-04-12,3734
2022-04-13,4018
2022-04-14,5293
2022-04-15,3588
2022-04-16,5349
2022-04-17,3080
2022-04-18,3080
2022-04-19,2658
2022-04-20,2494
2022-04-21,3071
2022-04-22,4166
2022-04-23,3056
2022-04-24,3526
2022-04-25,1666
2022-04-26,1666
2022-04-27,4044
2022-04-28,9369
2022-04-29,3142
2022-04-30,7010
2022-05-01,7010
2022-05-02,41336
2022-05-03,39231
2022-05-04,22100
2022-05-05,33095
2022-05-06,14039
2022-05-07,15303
2022-05-08,31930
2022-05-09,8143
2022-05-10,8922
2022-05-11,4417
2022-05-12,1658
2022-05-13,4095
2022-05-14,2618
2022-05-15,8569
2022-05-16,6890
2022-05-17,13598
2022-05-18,10285
2022-05-19,6200
2022-05-20,6106
2022-05-21,23544
2022-05-22,30045
2022-05-23,21146
2022-05-24,17895
2022-05-25,15406
2022-05-26,2350
2022-05-27,4378
2022-05-28,4235
2022-05-29,2184
2022-05-30,3295
2022-05-31,2471
2022-06-01,1171
2022-06-02,3213
2022-06-03,5284
2022-06-04,3334
2022-06-05,1430
2022-06-06,4628
2022-06-07,1206
2022-06-08,1790
2022-06-09,2136
