date,polymarket_implied_median_price,polymarket_upside_probability,polymarket_downside_probability,polymarket_ladder_skew,polymarket_ladder_width,polymarket_market_count,polymarket_event_count,polymarket_discovered_markets
2024-02-29,65000.0,0.505,,,,6,19,290
2024-03-01,100000.0,0.88,,,,6,19,290
2024-03-02,70000.0,0.85,,,,6,19,290
2024-03-03,70000.0,0.8,,,,6,19,290
2024-03-04,70000.0,0.595,,,,6,19,290
2024-03-05,80000.0,0.88,,,,4,19,290
2024-03-06,80000.0,0.7365,,,,4,19,290
2024-03-07,80000.0,0.8395,,,,4,19,290
2024-03-08,80000.0,0.8085,,,,4,19,290
2024-03-09,80000.0,0.41,,,,3,19,290
2024-03-10,80000.0,0.4,,,,3,19,290
2024-03-11,80000.0,0.39,,,,3,19,290
2024-03-12,80000.0,0.605,,,,3,19,290
2024-03-13,80000.0,0.515,,,,3,19,290
2024-03-14,80000.0,0.58,,,,3,19,290
2024-03-15,80000.0,0.42,,,,3,19,290
2024-03-16,80000.0,0.31,,,,3,19,290
2024-03-17,80000.0,0.155,,,,3,19,290
2024-03-18,80000.0,0.265,,,,3,19,290
2024-03-19,80000.0,0.185,,,,3,19,290
2024-03-20,80000.0,0.085,,,,3,19,290
2024-03-21,80000.0,0.165,,,,3,19,290
2024-03-22,80000.0,0.13,,,,3,19,290
2024-03-23,80000.0,0.045,,,,3,19,290
2024-03-24,80000.0,0.0645,,,,3,19,290
2024-03-25,80000.0,0.086,,,,3,19,290
2024-03-26,80000.0,0.1535,,,,3,19,290
2024-03-27,80000.0,0.0945,,,,3,19,290
2024-03-28,80000.0,0.0355,,,,3,19,290
2024-03-29,80000.0,0.0345,,,,3,19,290
2024-03-30,80000.0,0.0085,,,,3,19,290
2024-10-02,67500.0,0.645,0.665,-0.020000000000000018,0.1236983429534909,6,19,290
2024-10-03,55000.0,0.625,0.675,-0.050000000000000044,0.12346697233796565,6,19,290
2024-10-04,55000.0,0.59,0.695,-0.10499999999999998,0.12079101688481256,6,19,290
2024-10-05,67500.0,0.715,0.54,0.17499999999999993,0.12086775311198204,6,19,290
2024-10-06,67500.0,0.72,0.535,0.18499999999999994,0.11940610270262181,6,19,290
2024-10-07,57500.0,0.765,0.485,0.28,0.12057823533913352,6,19,290
2024-10-08,67500.0,0.705,0.465,0.23999999999999994,0.12073013723636161,6,19,290
2024-10-09,67500.0,0.695,0.45,0.24499999999999994,0.12380675053831175,6,19,290
2024-10-10,65000.0,0.555,0.585,-0.029999999999999916,0.12442034634311183,6,19,290
2024-10-11,65000.0,0.485,0.62,-0.135,0.11996401079676097,6,19,290
2024-10-12,67500.0,0.74,0.405,0.33499999999999996,0.1186944183712372,6,19,290
2024-10-13,67500.0,0.8,0.315,0.48500000000000004,0.11934066668470036,6,19,290
2024-10-14,67500.0,0.495,0.315,0.18,0.15136458961654053,6,19,290
2024-10-15,70000.0,0.8,0.145,0.655,0.1491277517798397,5,19,290
2024-10-16,70000.0,0.625,0.125,0.5,0.1848881589340029,4,19,290
2024-10-17,70000.0,0.685,0.1,0.5850000000000001,0.18545352957382927,4,19,290
2024-10-18,70000.0,0.625,0.075,0.55,0.1826788049181811,4,19,290
2024-10-19,70000.0,0.74,0.08,0.66,0.1828454942408789,4,19,290
2024-10-20,70000.0,0.715,0.07,0.645,0.18112041377755458,4,19,290
2024-10-21,70000.0,0.795,0.06,0.7350000000000001,0.18560823447220073,4,19,290
2024-10-22,70000.0,0.5,0.055,0.445,0.1855147693502293,4,19,290
2024-10-23,70000.0,0.495,0.06,0.435,0.18768455961169417,4,19,290
2024-10-24,70000.0,0.33,0.07,0.26,0.18340052150305092,4,19,290
2024-10-25,70000.0,0.55,0.055,0.49500000000000005,0.1877877565687782,4,19,290
2024-10-26,70000.0,0.285,0.06,0.22499999999999998,0.18653219635244497,4,19,290
2024-10-27,70000.0,0.28,0.055,0.22500000000000003,0.18397723156654847,4,19,290
2024-10-28,70000.0,0.395,0.03,0.365,0.17876423857160223,4,19,290
2024-10-29,57500.0,0.9995,0.0215,0.9780000000000001,0.1718819075041578,4,19,290
2024-10-30,57500.0,,0.0045,,,3,19,290
2024-11-02,77500.0,0.815,,,,9,19,290
2024-11-03,77500.0,0.785,,,,9,19,290
2024-11-04,77500.0,0.765,,,,8,19,290
2024-11-05,77500.0,0.695,,,,8,19,290
2024-11-06,77500.0,0.53,,,,8,19,290
2024-11-07,85000.0,0.885,,,,6,19,290
2024-11-08,82500.0,0.885,,,,8,19,290
2024-11-09,82500.0,0.865,,,,8,19,290
2024-11-10,82500.0,0.5,,,,8,19,290
2024-11-11,87500.0,0.36,,,,6,19,290
2024-11-12,105000.0,0.905,,,,5,19,290
2024-11-13,95000.0,0.66,,,,5,19,290
2024-11-14,105000.0,0.785,,,,9,19,290
2024-11-15,95000.0,0.63,,,,9,19,290
2024-11-16,105000.0,0.745,,,,9,19,290
2024-11-17,95000.0,0.69,,,,9,19,290
2024-11-18,95000.0,0.635,,,,9,19,290
2024-11-19,95000.0,0.665,,,,9,19,290
2024-11-20,95000.0,0.785,,,,9,19,290
2024-11-21,105000.0,0.19,,,,9,19,290
2024-11-22,105000.0,0.475,,,,8,19,290
2024-11-23,105000.0,0.445,,,,8,19,290
2024-11-24,105000.0,0.315,,,,8,19,290
2024-11-25,105000.0,0.33,,,,8,19,290
2024-11-26,105000.0,0.14,,,,8,19,290
2024-11-27,105000.0,0.07,,,,8,19,290
2024-11-28,105000.0,0.095,,,,8,19,290
2024-11-29,105000.0,0.028,,,,8,19,290
2024-12-03,90000.0,0.68,,,,7,19,290
2024-12-04,90000.0,0.675,,,,7,19,290
2024-12-05,105000.0,0.775,,,,7,19,290
2024-12-06,110000.0,0.68,,,,6,19,290
2024-12-07,110000.0,0.745,,,,6,19,290
2024-12-08,110000.0,0.775,,,,6,19,290
2024-12-09,110000.0,0.81,,,,6,19,290
2024-12-10,90000.0,0.615,,,,6,19,290
2024-12-11,90000.0,0.565,,,,6,19,290
2024-12-12,110000.0,0.79,,,,6,19,290
2024-12-13,110000.0,0.725,,,,6,19,290
2024-12-14,110000.0,0.745,,,,6,19,290
2024-12-15,110000.0,0.725,,,,6,19,290
2024-12-16,110000.0,0.665,,,,6,19,290
2024-12-17,120000.0,0.745,,,,5,19,290
2024-12-18,110000.0,0.73,,,,5,19,290
2024-12-19,110000.0,0.45,,,,5,19,290
2024-12-20,90000.0,0.24,,,,5,19,290
2024-12-21,90000.0,0.2,,,,5,19,290
2024-12-22,90000.0,0.17,,,,5,19,290
2024-12-23,90000.0,0.14,,,,5,19,290
2024-12-24,90000.0,0.105,,,,5,19,290
2024-12-25,90000.0,0.15,,,,5,19,290
2024-12-26,110000.0,0.165,,,,5,19,290
2024-12-27,90000.0,0.055,,,,5,19,290
2024-12-28,90000.0,0.016,,,,5,19,290
2024-12-29,90000.0,0.016,,,,5,19,290
2024-12-30,90000.0,0.007,,,,5,19,290
2025-01-03,105000.0,0.85,0.59,0.26,0.10189887535230263,14,19,290
2025-01-04,90000.0,0.905,0.49,0.41500000000000004,0.10182278050521408,14,19,290
2025-01-05,90000.0,0.915,0.455,0.46,0.10168250998801875,14,19,290
