date,polymarket_implied_median_price,polymarket_upside_probability,polymarket_downside_probability,polymarket_ladder_skew,polymarket_ladder_width,polymarket_market_count,polymarket_event_count,polymarket_discovered_markets
2024-10-02,130.0,0.875,0.57,0.30500000000000005,0.14269406392694065,4,20,274
2024-10-03,160.0,0.48,0.67,-0.19000000000000006,0.21929824561403508,3,20,274
2024-10-04,120.0,0.38,0.825,-0.44499999999999995,0.20946795140343527,3,20,274
2024-10-05,160.0,0.48,0.625,-0.14500000000000002,0.21039343572480537,3,20,274
2024-10-06,160.0,0.505,0.62,-0.11499999999999999,0.20480611687602404,3,20,274
2024-10-07,130.0,0.625,0.58,0.04500000000000004,0.20842017507294708,3,20,274
2024-10-08,160.0,0.565,0.575,-0.010000000000000009,0.20920502092050208,3,20,274
2024-10-09,160.0,0.545,0.57,-0.02499999999999991,0.21550175993103943,3,20,274
2024-10-10,160.0,0.465,0.69,-0.22499999999999992,0.21590500179920838,3,20,274
2024-10-11,160.0,0.39,0.655,-0.265,0.20624226591502817,3,20,274
2024-10-12,160.0,0.525,0.465,0.06,0.20498804236419543,3,20,274
2024-10-13,160.0,0.565,0.42,0.14499999999999996,0.20312817387771684,3,20,274
2024-10-14,160.0,0.585,0.375,0.20999999999999996,0.1904520060944642,3,20,274
2024-10-15,130.0,0.895,0.19,0.7050000000000001,0.1938986556359876,3,20,274
2024-10-16,130.0,0.815,0.23,0.585,0.19450207468879666,3,20,274
2024-10-17,130.0,0.84,0.22,0.62,0.19941504918904546,3,20,274
2024-10-18,160.0,0.65,0.265,0.385,0.19364833462432224,3,20,274
2024-10-19,160.0,0.74,0.15,0.59,0.1878404608352639,3,20,274
2024-10-20,130.0,0.93,0.1,0.8300000000000001,0.17924359204158452,3,20,274
2024-10-21,130.0,,0.065,,,2,20,274
2024-10-22,130.0,,0.065,,,2,20,274
2024-10-23,130.0,,0.055,,,2,20,274
2024-10-24,130.0,,0.04,,,2,20,274
2024-10-25,130.0,,0.035,,,2,20,274
2024-10-26,130.0,,0.0295,,,2,20,274
2024-10-27,130.0,,0.034,,,2,20,274
2024-10-28,130.0,,0.0075,,,2,20,274
2024-10-29,130.0,,0.015,,,2,20,274
2024-10-30,130.0,,0.0055,,,2,20,274
2024-11-02,190.0,0.715,,,,7,20,274
2024-11-03,190.0,0.65,,,,7,20,274
2024-11-04,140.0,0.595,,,,6,20,274
2024-11-05,180.0,0.505,,,,6,20,274
2024-11-06,190.0,0.53,,,,6,20,274
2024-11-07,150.0,0.705,,,,5,20,274
2024-11-08,230.0,0.935,,,,7,20,274
2024-11-09,230.0,0.82,,,,6,20,274
2024-11-10,230.0,0.7,,,,6,20,274
2024-11-11,230.0,0.72,,,,5,20,274
2024-11-12,275.0,0.85,,,,8,20,274
2024-11-13,250.0,0.715,,,,8,20,274
2024-11-14,250.0,0.74,,,,8,20,274
2024-11-15,240.0,0.65,,,,8,20,274
2024-11-16,250.0,0.78,,,,8,20,274
2024-11-17,250.0,0.57,,,,8,20,274
2024-11-18,275.0,0.805,,,,6,20,274
2024-11-19,275.0,0.815,,,,6,20,274
2024-11-20,275.0,0.76,,,,6,20,274
2024-11-21,250.0,0.27,,,,6,20,274
2024-11-22,300.0,0.7,,,,5,20,274
2024-11-23,275.0,0.62,,,,5,20,274
2024-11-24,275.0,0.52,,,,5,20,274
2024-11-25,275.0,0.435,,,,5,20,274
2024-11-26,275.0,0.125,,,,5,20,274
2024-11-27,275.0,0.075,,,,5,20,274
2024-11-28,275.0,0.13,,,,5,20,274
2024-11-29,275.0,0.036,,,,5,20,274
2024-12-03,200.0,0.765,,,,7,20,274
2024-12-04,200.0,0.9205,,,,7,20,274
2024-12-05,200.0,0.705,,,,6,20,274
2024-12-06,210.0,0.815,,,,6,20,274
2024-12-07,210.0,0.84,,,,6,20,274
2024-12-08,210.0,0.85,,,,6,20,274
2024-12-09,210.0,0.82,,,,6,20,274
2024-12-10,260.0,0.595,,,,5,20,274
2024-12-11,250.0,0.495,,,,5,20,274
2024-12-12,200.0,0.685,,,,5,20,274
2024-12-13,200.0,0.675,,,,5,20,274
2024-12-14,200.0,0.59,,,,5,20,274
2024-12-15,250.0,0.53,,,,5,20,274
2024-12-16,200.0,0.585,,,,5,20,274
2024-12-17,250.0,0.465,,,,5,20,274
2024-12-18,250.0,0.525,,,,5,20,274
2024-12-19,250.0,0.82,,,,5,20,274
2024-12-20,250.0,0.205,,,,4,20,274
2024-12-21,250.0,0.14,,,,4,20,274
2024-12-22,250.0,0.095,,,,4,20,274
2024-12-23,250.0,0.095,,,,4,20,274
2024-12-24,250.0,0.12,,,,4,20,274
2024-12-25,250.0,0.09,,,,4,20,274
2024-12-26,250.0,0.075,,,,4,20,274
2024-12-27,250.0,0.013,,,,4,20,274
2024-12-28,260.0,0.009,,,,4,20,274
2024-12-29,250.0,0.0195,,,,4,20,274
2024-12-30,250.0,0.0075,,,,4,20,274
2025-01-03,250.0,0.715,0.595,0.12,0.20648832193823705,9,20,274
2025-01-04,250.0,0.83,0.48,0.35,0.2077178729689808,9,20,274
2025-01-05,250.0,0.855,0.445,0.41,0.21092102179517225,9,20,274
2025-01-06,180.0,0.815,0.465,0.3499999999999999,0.20610057708161583,9,20,274
2025-01-07,250.0,0.87,0.35,0.52,0.22262900113788156,9,20,274
2025-01-08,180.0,0.595,0.54,0.05499999999999994,0.2279404315672171,9,20,274
2025-01-09,225.0,0.525,0.565,-0.039999999999999925,0.24329584775086505,9,20,274
2025-01-10,160.0,0.37,0.83,-0.45999999999999996,0.23983371529073177,9,20,274
2025-01-11,160.0,0.365,0.815,-0.44999999999999996,0.23932351220549913,9,20,274
2025-01-12,160.0,0.345,0.77,-0.42500000000000004,0.23885350318471338,9,20,274
2025-01-13,160.0,0.335,0.765,-0.43,0.24623803009575923,9,20,274
2025-01-14,160.0,0.315,0.445,-0.13,0.3466851565416822,8,20,274
2025-01-15,160.0,0.325,0.365,-0.03999999999999998,0.31568722680913064,8,20,274
2025-01-16,225.0,0.59,0.18,0.41,0.30794011749099864,8,20,274
2025-01-17,225.0,0.655,0.145,0.51,0.2960466387320095,8,20,274
2025-01-18,250.0,0.1645,0.11,0.05450000000000001,0.4389480514523455,8,20,274
2025-01-19,300.0,0.7825,0.035,0.7474999999999999,0.45573432670206865,6,20,274
2025-01-20,300.0,0.3925,0.0565,0.336,0.5793503000206911,5,20,274
2025-01-21,300.0,0.2885,0.067,0.22149999999999997,0.5592841163310962,5,20,274
2025-01-22,300.0,0.2875,0.0605,0.22699999999999998,0.5442600007775142,5,20,274
2025-01-23,300.0,0.2965,0.0275,0.26899999999999996,0.5530973451327433,5,20,274
2025-01-24,300.0,0.224,0.0225,0.2015,0.5525516043730513,5,20,274
2025-01-25,300.0,0.2485,0.0085,0.24,0.5461070369792479,5,20,274
2025-01-26,300.0,0.2315,0.007,0.2245,0.5823869545322186,5,20,274
2025-01-27,300.0,0.057,0.024,0.033,0.5960744241495295,5,20,274
2025-01-28,300.0,0.035,0.021,0.014000000000000002,0.6170390938340166,5,20,274
2025-01-29,160.0,0.0145,0.017,-0.0025000000000000005,0.6136044880785414,5,20,274
2025-01-30,160.0,0.007,0.008,-0.001,0.5874454514937899,5,20,274
2025-02-01,180.0,0.545,0.515,0.030000000000000027,0.23480792711561943,11,20,274
2025-02-02,250.0,0.515,0.83,-0.31499999999999995,0.24576062914721064,11,20,274
2025-02-03,160.0,0.415,0.69,-0.27499999999999997,0.32335550628233556,10,20,274
2025-02-04,250.0,0.525,0.27,0.255,0.4354136429608128,9,20,274
2025-02-05,250.0,0.43,0.29,0.14,0.4588793147402233,9,20,274
2025-02-06,160.0,0.275,0.36,-0.08499999999999996,0.4747586643456243,9,20,274
2025-02-07,160.0,0.22,0.435,-0.215,0.46860356138706655,9,20,274
2025-02-08,160.0,0.235,0.43,-0.195,0.45133142771174967,9,20,274
2025-02-09,160.0,0.27,0.32,-0.04999999999999999,0.44885541868236,9,20,274
2025-02-10,160.0,0.26,0.295,-0.034999999999999976,0.44881065177280205,9,20,274
2025-02-11,160.0,0.235,0.285,-0.04999999999999999,0.45470620926590205,9,20,274
2025-02-12,160.0,0.18,0.26,-0.08000000000000002,0.45731707317073167,9,20,274
2025-02-13,160.0,0.16,0.255,-0.095,0.463225075917443,9,20,274
2025-02-14,160.0,0.115,0.265,-0.15000000000000002,0.45128616557187984,9,20,274
2025-02-15,250.0,0.175,0.16,0.014999999999999986,0.4626535752840179,9,20,274
2025-02-16,160.0,0.13,0.19,-0.06,0.47798608529396147,9,20,274
