run_id,asset_id,period_slice,model_name,baseline_model,n_samples,model_directional_accuracy,baseline_directional_accuracy,accuracy_delta_vs_baseline,model_tc_return,baseline_tc_return,return_delta_vs_baseline,model_win_months,baseline_win_months,tie_months,dominance_result,notes
btc_research_20260529T094658Z,btc,full_period,logistic_linear,momentum_90d,100,0.47,0.55,-0.08000000000000007,2.5182833692814692,8.404250921258626,-5.885967551977156,23,31,46,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2018-2020,logistic_linear,momentum_90d,36,0.4722222222222222,0.5555555555555556,-0.08333333333333337,1.3007047626115589,2.2207571264735986,-0.9200523638620397,6,9,21,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2021-2023,logistic_linear,momentum_90d,36,0.4166666666666667,0.5555555555555556,-0.1388888888888889,-0.19519206032513114,0.8204761337812514,-1.0156681941063825,7,12,17,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2024-present,logistic_linear,momentum_90d,27,0.5555555555555556,0.5555555555555556,0.0,1.6391188976476143,1.2277298641946133,0.41138903345300104,10,10,7,mixed_or_tie,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,high-vol,logistic_linear,momentum_90d,34,0.4117647058823529,0.35294117647058826,0.05882352941176466,-0.3802986580319502,-0.6195586765100645,0.2392600184781143,8,6,20,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,low-vol,logistic_linear,momentum_90d,66,0.5,0.6515151515151515,-0.1515151515151515,4.677385429097332,23.71932027517357,-19.041934846076238,15,25,26,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,full_period,hgb,momentum_90d,100,0.49,0.55,-0.06000000000000005,6.890163535254784,8.404250921258626,-1.5140873860038422,20,26,54,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2018-2020,hgb,momentum_90d,36,0.5277777777777778,0.5555555555555556,-0.02777777777777779,3.1568972833040094,2.2207571264735986,0.9361401568304109,7,8,21,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2021-2023,hgb,momentum_90d,36,0.5277777777777778,0.5555555555555556,-0.02777777777777779,0.817366942451536,0.8204761337812514,-0.0031091913297154328,8,9,19,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2024-present,hgb,momentum_90d,27,0.4074074074074074,0.5555555555555556,-0.1481481481481482,0.4506257159586806,1.2277298641946133,-0.7771041482359327,5,9,13,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,high-vol,hgb,momentum_90d,34,0.4117647058823529,0.35294117647058826,0.05882352941176466,-0.37876639316146565,-0.6195586765100645,0.2407922833485988,9,7,18,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,low-vol,hgb,momentum_90d,66,0.5303030303030303,0.6515151515151515,-0.12121212121212122,11.70079958392452,23.71932027517357,-12.01852069124905,11,19,36,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,full_period,random_forest,momentum_90d,100,0.48,0.55,-0.07000000000000006,4.860394345486732,8.404250921258626,-3.543856575771894,19,26,55,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2018-2020,random_forest,momentum_90d,36,0.4722222222222222,0.5555555555555556,-0.08333333333333337,2.6059629572392065,2.2207571264735986,0.3852058307656079,6,9,21,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2021-2023,random_forest,momentum_90d,36,0.3888888888888889,0.5555555555555556,-0.16666666666666669,-0.28162539768452,0.8204761337812514,-1.1021015314657714,7,13,16,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,2024-present,random_forest,momentum_90d,27,0.6296296296296297,0.5555555555555556,0.07407407407407407,2.142214979285359,1.2277298641946133,0.9144851150907458,6,4,17,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,high-vol,random_forest,momentum_90d,34,0.4117647058823529,0.35294117647058826,0.05882352941176466,-0.33901023839082567,-0.6195586765100645,0.2805484381192388,9,7,18,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260529T094658Z,btc,low-vol,random_forest,momentum_90d,66,0.5151515151515151,0.6515151515151515,-0.13636363636363635,7.866089440205023,23.71932027517357,-15.853230834968546,10,19,37,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
