run_id,asset_id,candidate_feature_set,model_name,audit_scope,filter_name,filter_selection_basis,selection_window_end,test_window_start,test_window_end,leakage_check_passed,official_sample_count,active_signal_count,active_coverage,active_hit_rate,directional_accuracy,brier_score,calibration_error,after_cost_return,max_drawdown,bootstrap_ci_low,permutation_p_value,regime_concentration_score,best_regime,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,passes_transaction_cost_check,passes_active_coverage_floor,passes_bootstrap_gate,passes_permutation_gate,passes_regime_stability_gate,promotion_eligible,rescue_decision,failed_gates,rejection_reason,generated_at
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,high_vix,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,40,0.40404040404040403,0.725,0.725,0.19860462041929494,0.04921141394938368,1.182620033216856,-0.10051631855856269,0.6,1.0,0.716640190430969,2020-2021,True,True,True,True,True,True,True,False,True,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,high_vix,rolling_train_calibration_only,2026-02-28,2018-01-31,2026-03-31,True,99,32,0.32323232323232326,0.71875,0.71875,0.19561104001734406,0.008386228039157746,1.0888564784963108,-0.10051631855856247,0.53828125,1.0,0.716640190430969,2020-2021,True,True,True,True,True,True,True,False,True,False,diagnostic_only,permutation_p_value,Cross-asset filter is interesting but failed one or more statistical promotion gates.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,low_vix,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,47,0.47474747474747475,0.6808510638297872,0.6808510638297872,0.22520147253293005,0.1153338361295429,0.44895907597509144,-0.22060331893584317,0.5531914893617021,1.0,0.7429194141867771,2024-present,True,True,True,True,True,True,True,False,True,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value; material_calibration_worsening,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,low_vix,rolling_train_calibration_only,2025-12-31,2018-01-31,2026-03-31,True,99,36,0.36363636363636365,0.6666666666666666,0.6666666666666666,0.2309479805717118,0.07384927465579029,0.38861378210020936,-0.17206273710699838,0.5277777777777778,1.0,0.8092802064009809,2024-present,True,True,True,True,True,True,True,False,False,False,not_deployable,permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,nasdaq_up,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,56,0.5656565656565656,0.7321428571428571,0.7321428571428571,0.21070703264281115,0.07913848615814803,1.197044899281158,-0.13158388555982692,0.6071428571428571,1.0,0.623199889307654,2024-present,True,True,True,True,True,True,True,False,True,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,nasdaq_up,rolling_train_calibration_only,2025-12-31,2018-01-31,2026-03-31,True,99,50,0.5050505050505051,0.72,0.72,0.2167736953773416,0.05627814303660118,1.081326503519767,-0.1315838855598267,0.6,1.0,0.623199889307654,2024-present,True,True,True,True,True,True,True,False,True,False,diagnostic_only,permutation_p_value,Cross-asset filter is interesting but failed one or more statistical promotion gates.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,nasdaq_down,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,31,0.31313131313131315,0.6451612903225806,0.6451612903225806,0.21706645799426083,0.11464887400272933,0.41106244937752434,-0.13923499673709383,0.4838709677419355,1.0,1.0,2020-2021,True,True,True,True,True,True,False,False,False,False,diagnostic_only,final_test_ranked; leakage_check; bootstrap_lower_bound; permutation_p_value; regime_stability; material_calibration_worsening,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,nasdaq_down,rolling_train_calibration_only,2026-02-28,2018-01-31,2026-03-31,True,99,23,0.23232323232323232,0.6086956521739131,0.6086956521739131,0.22644424111964961,0.15422525352974922,0.14043694530852013,-0.13923499673709394,0.43478260869565216,1.0,1.0,2020-2021,True,True,True,True,True,True,False,False,False,False,not_deployable,bootstrap_lower_bound; permutation_p_value; regime_stability; material_calibration_worsening,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,diagnostic_slice,btc_up,diagnostic_final_test_slice,,2018-01-31,2026-03-31,False,99,44,0.4444444444444444,0.75,0.75,0.20465244476484107,0.0772544035566425,1.2367511038070709,-0.1720627371069985,0.5960227272727273,1.0,0.5019793627228863,2024-present,True,True,True,True,True,True,True,False,True,False,diagnostic_only,final_test_ranked; leakage_check; permutation_p_value,Final-test-ranked slices are diagnostic-only and cannot promote a model.,2026-05-29T10:32:37.466368+00:00
spx_research_20260529T102518Z,spx,spx_cross_asset_risk,logistic_linear,train_selected_filter,btc_up,rolling_train_calibration_only,2025-07-31,2018-01-31,2026-03-31,True,99,39,0.3939393939393939,0.717948717948718,0.717948717948718,0.2227058195488768,0.0898235419704689,0.8635449467984231,-0.1720627371069986,0.5384615384615384,1.0,0.5019793627228863,2024-present,True,True,True,True,True,True,True,False,True,False,diagnostic_only,permutation_p_value; material_calibration_worsening,Cross-asset filter is interesting but failed one or more statistical promotion gates.,2026-05-29T10:32:37.466368+00:00
