run_id,asset_id,period_slice,model_name,baseline_model,n_samples,model_directional_accuracy,baseline_directional_accuracy,accuracy_delta_vs_baseline,model_tc_return,baseline_tc_return,return_delta_vs_baseline,model_win_months,baseline_win_months,tie_months,dominance_result,notes
btc_research_20260512T102621Z,btc,full_period,logistic_linear,momentum_90d,100,0.49,0.55,-0.06000000000000005,2.7088229094570604,8.404250921258626,-5.695428011801566,23,29,48,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2018-2020,logistic_linear,momentum_90d,36,0.4722222222222222,0.5555555555555556,-0.08333333333333337,1.3007047626115589,2.2207571264735986,-0.9200523638620397,6,9,21,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2021-2023,logistic_linear,momentum_90d,36,0.4444444444444444,0.5555555555555556,-0.11111111111111116,-0.1710287803792947,0.8204761337812514,-0.9915049141605461,7,11,18,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2024-present,logistic_linear,momentum_90d,27,0.5925925925925926,0.5555555555555556,0.03703703703703698,1.7009530641094033,1.2277298641946133,0.47322319991479,10,9,8,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,high-vol,logistic_linear,momentum_90d,34,0.4411764705882353,0.35294117647058826,0.08823529411764702,-0.3610913511506808,-0.6195586765100645,0.25846732535938366,8,5,21,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,low-vol,logistic_linear,momentum_90d,66,0.5151515151515151,0.6515151515151515,-0.13636363636363635,4.804934580454794,23.71932027517357,-18.914385694718774,15,24,27,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,full_period,hgb,momentum_90d,100,0.49,0.55,-0.06000000000000005,5.362064329447924,8.404250921258626,-3.042186591810702,20,26,54,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2018-2020,hgb,momentum_90d,36,0.5,0.5555555555555556,-0.05555555555555558,2.296144487403906,2.2207571264735986,0.07538736093030751,7,9,20,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2021-2023,hgb,momentum_90d,36,0.5277777777777778,0.5555555555555556,-0.02777777777777779,0.780342945470369,0.8204761337812514,-0.04013318831088242,8,9,19,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2024-present,hgb,momentum_90d,27,0.4444444444444444,0.5555555555555556,-0.11111111111111116,0.5058074170724163,1.2277298641946133,-0.721922447122197,5,8,14,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,high-vol,hgb,momentum_90d,34,0.4117647058823529,0.35294117647058826,0.05882352941176466,-0.37876639316146565,-0.6195586765100645,0.2407922833485988,9,7,18,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,low-vol,hgb,momentum_90d,66,0.5303030303030303,0.6515151515151515,-0.12121212121212122,9.241017645237436,23.71932027517357,-14.478302629936133,11,19,36,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,full_period,random_forest,momentum_90d,100,0.47,0.55,-0.08000000000000007,3.834098491185377,8.404250921258626,-4.570152430073249,19,27,54,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2018-2020,random_forest,momentum_90d,36,0.4722222222222222,0.5555555555555556,-0.08333333333333337,2.6059629572392065,2.2207571264735986,0.3852058307656079,6,9,21,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2021-2023,random_forest,momentum_90d,36,0.3888888888888889,0.5555555555555556,-0.16666666666666669,-0.28162539768452,0.8204761337812514,-1.1021015314657714,7,13,16,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,2024-present,random_forest,momentum_90d,27,0.5925925925925926,0.5555555555555556,0.03703703703703698,1.5919376401763068,1.2277298641946133,0.3642077759816935,6,5,16,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,high-vol,random_forest,momentum_90d,34,0.4117647058823529,0.35294117647058826,0.05882352941176466,-0.33901023839082567,-0.6195586765100645,0.2805484381192388,9,7,18,ml_wins,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
btc_research_20260512T102621Z,btc,low-vol,random_forest,momentum_90d,66,0.5,0.6515151515151515,-0.1515151515151515,6.313424158668973,23.71932027517357,-17.405896116504596,10,20,36,baseline_dominates,Uses official 30d non-overlapping equity rows; candidate feature packs are covered in btc_factor_rescue_report.
