run_id,asset_id,candidate_feature_set,model_name,filter_name,filter_selection_basis,selection_window_end,test_window_start,test_window_end,leakage_check_passed,official_sample_count,active_signal_count,active_coverage,active_hit_rate,directional_accuracy,brier_score,calibration_error,after_cost_return,max_drawdown,bootstrap_ci_low,permutation_p_value,regime_concentration_score,best_regime,beats_buy_hold,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,passes_transaction_cost_check,passes_active_coverage_floor,passes_bootstrap_gate,passes_permutation_gate,passes_regime_stability_gate,promotion_eligible,rescue_decision,failed_gates,rejection_reason,generated_at
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,low_vol,rolling_train_calibration_only,2026-02-28,2017-12-31,2026-03-31,True,100,30,0.3,0.6,0.6,0.23710579044372387,0.09531849347349221,2.7338105708706846,-0.3576608024486614,0.43333333333333335,1.0,1.0,2022-2023,True,True,True,True,True,True,False,False,False,False,not_deployable,bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,high_vol,rolling_train_calibration_only,,2017-12-31,2026-03-31,True,100,0,0.0,,,,,0.0,0.0,,,,,True,True,True,True,False,False,False,False,False,False,not_deployable,active_coverage_floor; transaction_cost_check; bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,btc_up,rolling_train_calibration_only,2025-08-31,2017-12-31,2026-03-31,True,100,13,0.13,0.6923076923076923,0.6923076923076923,0.20761252116170148,0.02133322390924182,1.5602371138241593,-0.22606640076745943,0.46153846153846156,1.0,1.0,2024-present,True,True,True,True,True,False,False,False,False,False,not_deployable,active_coverage_floor; bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,btc_down,rolling_train_calibration_only,2026-02-28,2017-12-31,2026-03-31,True,100,13,0.13,0.5384615384615384,0.5384615384615384,0.25879804051295474,0.168457225983699,0.8474681365298564,-0.3249987738513348,0.23076923076923078,1.0,1.0,2022-2023,True,True,True,True,True,False,False,False,False,False,not_deployable,active_coverage_floor; bootstrap_lower_bound; permutation_p_value; regime_stability; material_calibration_worsening,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,stablecoin_expansion,rolling_train_calibration_only,2026-02-28,2017-12-31,2026-03-31,True,100,30,0.3,0.6,0.6,0.24448633261432098,0.07768062068694484,2.9705677046201924,-0.3985889731203922,0.43333333333333335,1.0,1.0,2020-2021,True,True,True,True,True,True,False,False,False,False,not_deployable,bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,stablecoin_contraction,rolling_train_calibration_only,,2017-12-31,2026-03-31,True,100,0,0.0,,,,,0.0,0.0,,,,,True,True,True,True,False,False,False,False,False,False,not_deployable,active_coverage_floor; transaction_cost_check; bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,dominance_rotation_starting,rolling_train_calibration_only,2023-11-30,2017-12-31,2026-03-31,True,100,1,0.01,0.0,0.0,0.3877444462235713,0.6226912928759895,-0.15147715438308063,-0.15147715438308063,0.0,1.0,1.0,2024-present,True,True,True,True,False,False,False,False,False,False,not_deployable,active_coverage_floor; transaction_cost_check; bootstrap_lower_bound; permutation_p_value; regime_stability; material_brier_worsening; material_calibration_worsening,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,dominance_btc_safe_haven,rolling_train_calibration_only,2024-02-29,2017-12-31,2026-03-31,True,100,0,0.0,,,,,0.0,0.0,,,,,True,True,True,True,False,False,False,False,False,False,not_deployable,active_coverage_floor; transaction_cost_check; bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,dominance_accumulation,rolling_train_calibration_only,,2017-12-31,2026-03-31,True,100,0,0.0,,,,,0.0,0.0,,,,,True,True,True,True,False,False,False,False,False,False,not_deployable,active_coverage_floor; transaction_cost_check; bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
btc_research_20260512T122205Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,dominance_alt_season,rolling_train_calibration_only,,2017-12-31,2026-03-31,True,100,0,0.0,,,,,0.0,0.0,,,,,True,True,True,True,False,False,False,False,False,False,not_deployable,active_coverage_floor; transaction_cost_check; bootstrap_lower_bound; permutation_p_value; regime_stability,"Filtered policy failed active-coverage, after-cost, or regime-stability requirements.",2026-05-12T12:35:39.619572+00:00
